Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,82.08,83.83,81.57,83.13,804030.0,0.0,1.0,82.08,83.83,81.57,83.13,804030.0
2018-03-26,80.37,81.805,79.49,81.69,741452.0,0.0,1.0,80.37,81.805,79.49,81.69,741452.0
2018-03-23,81.4,81.99,79.84,80.03,547936.0,0.0,1.0,81.4,81.99,79.84,80.03,547936.0
2018-03-22,81.31,82.76,81.13,81.17,568990.0,0.0,1.0,81.31,82.76,81.13,81.17,568990.0
2018-03-21,81.31,82.76,81.1219,81.38,315210.0,0.0,1.0,81.31,82.76,81.1219,81.38,315210.0
2018-03-20,81.78,82.12,80.86,81.27,388419.0,0.0,1.0,81.78,82.12,80.86,81.27,388419.0
2018-03-19,82.74,82.84,81.4,81.7,353829.0,0.0,1.0,82.74,82.84,81.4,81.7,353829.0
2018-03-16,81.36,83.13,81.25,82.86,1156400.0,0.0,1.0,81.36,83.13,81.25,82.86,1156400.0
2018-03-15,81.39,82.405,81.02,81.47,493159.0,0.0,1.0,81.39,82.405,81.02,81.47,493159.0
2018-03-14,81.18,81.98,80.79,81.34,471041.0,0.0,1.0,81.18,81.98,80.79,81.34,471041.0
2018-03-13,81.35,81.86,80.61,81.02,639429.0,0.0,1.0,81.35,81.86,80.61,81.02,639429.0
2018-03-12,80.14,81.2,80.14,81.13,404727.0,0.0,1.0,80.14,81.2,80.14,81.13,404727.0
2018-03-09,79.76,80.27,79.32,80.23,474988.0,0.0,1.0,79.76,80.27,79.32,80.23,474988.0
2018-03-08,79.85,80.3,79.37,79.82,486227.0,0.0,1.0,79.85,80.3,79.37,79.82,486227.0
2018-03-07,79.96,80.63,79.27,79.46,797447.0,0.0,1.0,79.96,80.63,79.27,79.46,797447.0
2018-03-06,80.44,80.87,79.57,80.04,825146.0,0.0,1.0,80.44,80.87,79.57,80.04,825146.0
2018-03-05,79.1,80.82,79.01,80.61,589692.0,0.0,1.0,79.1,80.82,79.01,80.61,589692.0
2018-03-02,80.1,81.19,78.75,79.19,636873.0,0.0,1.0,80.1,81.19,78.75,79.19,636873.0
2018-03-01,80.54,81.8725,79.88,80.15,804092.0,0.0,1.0,80.54,81.8725,79.88,80.15,804092.0
2018-02-28,81.24,81.78,80.46,80.49,501069.0,0.0,1.0,81.24,81.78,80.46,80.49,501069.0
2018-02-27,82.45,82.67,81.05,81.05,339935.0,0.0,1.0,82.45,82.67,81.05,81.05,339935.0
2018-02-26,82.71,82.85,81.63,82.19,238394.0,0.0,1.0,82.71,82.85,81.63,82.19,238394.0
2018-02-23,80.81,82.62,80.5218,82.59,493102.0,0.0,1.0,80.81,82.62,80.5218,82.59,493102.0
2018-02-22,81.09,81.82,80.7,80.86,470467.0,0.0,1.0,81.09,81.82,80.7,80.86,470467.0
2018-02-21,82.06,82.8,81.02,81.04,581294.0,0.0,1.0,82.06,82.8,81.02,81.04,581294.0
2018-02-20,82.53,83.479,81.34,82.07,588173.0,0.0,1.0,82.53,83.479,81.34,82.07,588173.0
