symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ES,2017-09-08,63.490000,63.660000,False,62.960000,63.100000,reg,1127778
ES,2017-09-11,64.110000,64.190000,False,63.250000,63.440000,reg,1393913
ES,2017-09-12,62.640000,64.150000,False,62.360000,64.150000,reg,1288649
ES,2017-09-13,62.370000,62.800000,False,62.270000,62.570000,reg,1104532
ES,2017-09-14,63.050000,63.100000,False,62.150000,62.340000,reg,1445985
ES,2017-09-15,62.860000,63.170000,False,62.500000,62.810000,reg,2129562
ES,2017-09-18,61.690000,62.560000,False,61.210000,62.550000,reg,1450362
ES,2017-09-19,61.770000,61.930000,False,61.420000,61.740000,reg,1447286
ES,2017-09-20,61.480000,61.980000,False,61.140000,61.960000,reg,1573644
ES,2017-09-21,61.440000,61.850000,False,61.300000,61.480000,reg,1125424
ES,2017-09-22,60.710000,61.650000,False,60.670000,61.590000,reg,1678498
ES,2017-09-25,61.470000,61.550000,False,60.660000,60.780000,reg,1283643
ES,2017-09-26,61.340000,61.635000,False,61.180000,61.490000,reg,1218864
ES,2017-09-27,60.430000,61.189900,False,60.250000,61.040000,reg,1153213
ES,2017-09-28,60.570000,60.940000,False,60.010000,60.480000,reg,2710185
ES,2017-09-29,60.440000,60.730000,False,60.254600,60.500000,reg,3067600
ES,2017-10-02,60.380000,60.720000,False,60.280000,60.510000,reg,1300873
ES,2017-10-03,60.210000,60.389900,False,59.590000,60.310000,reg,1624956
ES,2017-10-04,60.790000,60.850000,False,60.070000,60.360000,reg,1585696
ES,2017-10-05,60.630000,60.840000,False,60.320000,60.820000,reg,1113634
ES,2017-10-06,60.380000,60.610000,False,60.130000,60.420000,reg,1593617
ES,2017-10-09,60.320000,60.675000,False,60.245000,60.440000,reg,1774299
ES,2017-10-10,60.660000,60.690000,False,60.080000,60.270000,reg,1637362
ES,2017-10-11,61.300000,61.420000,False,60.540000,60.960000,reg,1832871
ES,2017-10-12,61.670000,61.950000,False,61.110000,61.260000,reg,1757388
ES,2017-10-13,61.650000,62.200000,False,61.510000,61.970000,reg,1482702
ES,2017-10-16,61.200000,61.720000,False,60.990000,61.540000,reg,2079225
ES,2017-10-17,61.740000,61.760000,False,61.100000,61.250000,reg,1393852
ES,2017-10-18,61.440000,61.660000,False,61.250000,61.600000,reg,1050046
ES,2017-10-19,62.060000,62.060000,False,61.430000,61.560000,reg,1630212
ES,2017-10-20,62.130000,62.210000,False,61.790000,61.885000,reg,1017098
ES,2017-10-23,62.370000,62.420000,False,61.890000,62.260000,reg,1401158
ES,2017-10-24,62.420000,62.500000,False,61.830000,62.070000,reg,1709959
ES,2017-10-25,62.330000,62.360000,False,61.590000,62.150000,reg,2062640
ES,2017-10-26,62.240000,62.840000,False,62.145000,62.520000,reg,1615914
ES,2017-10-27,62.790000,62.840000,False,62.120000,62.140000,reg,1266391
ES,2017-10-30,62.490000,62.660000,False,62.110000,62.620000,reg,1925123
ES,2017-10-31,62.640000,62.830000,False,62.305000,62.450000,reg,1965409
ES,2017-11-01,62.680000,63.060000,False,61.980000,62.790000,reg,2622800
ES,2017-11-02,63.230000,63.270000,False,62.250000,63.130000,reg,1997989
ES,2017-11-03,63.540000,64.040000,False,63.040000,63.130000,reg,1381888
ES,2017-11-06,63.700000,64.020000,False,63.270000,63.580000,reg,2325882
ES,2017-11-07,64.520000,64.615000,False,63.580000,63.995000,reg,1990206
ES,2017-11-08,64.630000,65.010000,False,64.095000,64.430000,reg,2110831
ES,2017-11-09,64.680000,64.870000,False,64.360000,64.540000,reg,1300967
ES,2017-11-10,64.070000,64.420000,False,63.850000,64.300000,reg,1555607
ES,2017-11-13,64.760000,64.830000,False,64.010000,64.100000,reg,1423820
ES,2017-11-14,65.810000,65.850000,False,64.460000,64.610000,reg,1761230
ES,2017-11-15,65.000000,66.150000,False,64.960000,65.910000,reg,1608337
ES,2017-11-16,64.890000,65.230000,False,64.560000,65.000000,reg,1677272
ES,2017-11-17,64.210000,64.890000,False,64.060000,64.620000,reg,1602410
ES,2017-11-20,63.840000,64.260000,False,63.600000,64.250000,reg,1486005
ES,2017-11-21,63.930000,64.195000,False,63.820000,63.870000,reg,1302279
ES,2017-11-22,63.810000,63.960000,False,63.435000,63.860000,reg,1466007
ES,2017-11-24,64.330000,64.330000,False,63.970000,64.050000,reg,621455
ES,2017-11-27,64.420000,64.640000,False,64.010000,64.200000,reg,1058884
ES,2017-11-28,64.560000,64.960000,False,64.450000,64.570000,reg,1217720
ES,2017-11-29,64.610000,65.030000,False,64.260000,64.480000,reg,1599404
ES,2017-11-30,64.850000,64.940000,False,64.430000,64.570000,reg,3708376
ES,2017-12-01,65.430000,66.120000,False,65.050000,65.150000,reg,3423591
ES,2017-12-04,65.480000,66.105000,False,65.320000,65.530000,reg,2108879
ES,2017-12-05,64.880000,65.500000,False,64.320000,65.500000,reg,2019634
ES,2017-12-06,65.110000,65.350000,False,64.840000,65.110000,reg,1596499
ES,2017-12-07,64.910000,65.100000,False,64.470000,65.100000,reg,2394976
ES,2017-12-08,65.220000,65.230000,False,64.565000,64.840000,reg,1741416
ES,2017-12-11,65.700000,65.790000,False,64.960000,65.220000,reg,1545045
ES,2017-12-12,64.210000,65.606500,False,64.130000,64.210000,reg,1701865
ES,2017-12-13,65.080000,65.520000,False,64.430000,64.800000,reg,1931787
ES,2017-12-14,64.780000,65.200000,False,64.250000,64.910000,reg,1749091
ES,2017-12-15,64.620000,64.910000,False,64.345000,64.550000,reg,2786529
ES,2017-12-18,63.910000,64.835000,False,63.850000,64.580000,reg,1426293
ES,2017-12-19,62.590000,63.970000,False,62.540000,63.840000,reg,1341478
ES,2017-12-20,62.220000,62.930000,False,62.210000,62.690000,reg,1012556
ES,2017-12-21,61.980000,62.455000,False,61.680000,61.860000,reg,1579164
ES,2017-12-22,62.370000,62.525000,False,61.990000,62.220000,reg,1231506
ES,2017-12-26,61.960000,62.760000,False,61.925000,62.620000,reg,654194
ES,2017-12-27,62.530000,62.690000,False,62.135000,62.320000,reg,1139020
ES,2017-12-28,62.950000,63.000000,False,62.530000,62.790000,reg,1033887
ES,2017-12-29,63.180000,63.405000,False,62.870000,62.870000,reg,1538409
ES,2018-01-02,63.150000,63.440000,False,62.530000,63.180000,reg,4243895
ES,2018-01-03,62.590000,63.350000,False,62.300000,62.940000,reg,2311972
ES,2018-01-04,61.710000,62.610000,False,61.610000,62.520000,reg,2300313
ES,2018-01-05,61.820000,62.090000,False,61.370000,61.850000,reg,2265065
ES,2018-01-08,62.250000,62.290000,False,61.560000,61.820000,reg,1804643
ES,2018-01-09,61.780000,62.390000,False,61.460000,62.200000,reg,2255305
ES,2018-01-10,61.320000,61.630000,False,61.150000,61.600000,reg,1716249
ES,2018-01-11,61.520000,61.530000,False,60.990000,61.140000,reg,1822444
ES,2018-01-12,61.350000,61.920000,False,61.220000,61.420000,reg,2804661
ES,2018-01-16,60.950000,61.640000,False,60.331200,61.360000,reg,2079334
ES,2018-01-17,61.650000,61.780000,False,60.870000,60.940000,reg,1985958
ES,2018-01-18,60.810000,61.760000,False,60.650000,61.760000,reg,4200727
ES,2018-01-19,60.790000,61.190000,False,60.650000,60.980000,reg,2157985
ES,2018-01-22,60.760000,61.340000,False,60.610000,61.120000,reg,2493408
ES,2018-01-23,61.120000,61.630000,False,60.180000,60.200000,reg,3995721
ES,2018-01-24,61.130000,61.480000,False,60.520000,61.010000,reg,4666571
ES,2018-01-25,64.570000,64.880000,False,61.075000,61.170000,reg,6160714
ES,2018-01-26,64.070000,64.990000,False,63.290000,64.850000,reg,3695086
ES,2018-01-29,62.440000,63.840000,False,62.200000,63.520000,reg,2827131
ES,2018-01-30,62.560000,63.150000,False,62.230000,62.380000,reg,2353049
ES,2018-01-31,63.090000,63.160000,False,62.330000,62.630000,reg,2518079
ES,2018-02-01,60.160000,63.420000,False,59.330000,63.140000,reg,5772510
ES,2018-02-02,59.350000,59.580000,False,58.040000,58.390000,reg,6519772
ES,2018-02-05,58.330000,59.590000,False,58.330000,59.060000,reg,4104088
ES,2018-02-06,57.540000,57.935000,False,56.760000,57.690000,reg,3545948
ES,2018-02-07,56.890000,58.210000,False,56.880000,57.550000,reg,3236268
ES,2018-02-08,56.110000,57.150000,False,56.100000,56.810000,reg,2502624
ES,2018-02-09,57.020000,57.430000,False,55.930000,56.270000,reg,2749817
ES,2018-02-12,57.530000,57.860000,False,56.510000,57.080000,reg,2176612
ES,2018-02-13,57.620000,57.790000,False,56.620000,57.230000,reg,1787750
ES,2018-02-14,57.580000,57.770000,False,56.840000,57.290000,reg,2544376
ES,2018-02-15,58.570000,58.580000,False,57.650000,57.840000,reg,3189243
ES,2018-02-16,59.120000,59.380000,False,58.470000,58.470000,reg,1509747
ES,2018-02-20,58.170000,59.010000,False,57.960000,58.780000,reg,1145147
