symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
HES,2017-09-08,40.270000,41.330000,False,40.010000,41.150000,reg,3443326
HES,2017-09-11,40.920000,41.065000,False,40.240000,40.400000,reg,3570690
HES,2017-09-12,41.420000,41.850000,False,40.745000,41.080000,reg,3360248
HES,2017-09-13,42.130000,42.400000,False,41.540000,41.540000,reg,5301413
HES,2017-09-14,42.250000,42.810000,False,41.950000,42.210000,reg,5082729
HES,2017-09-15,42.170000,42.230000,False,41.560000,41.990000,reg,4526085
HES,2017-09-18,42.480000,42.670000,False,41.990000,41.990000,reg,4510682
HES,2017-09-19,42.730000,42.795000,False,42.080000,42.540000,reg,3212196
HES,2017-09-20,43.460000,43.570000,False,42.910000,42.990000,reg,4050179
HES,2017-09-21,43.630000,43.820000,False,43.010000,43.430000,reg,3521369
HES,2017-09-22,44.500000,44.540000,False,43.480000,43.510000,reg,3428104
HES,2017-09-25,46.100000,46.270000,False,44.760000,44.870000,reg,6359561
HES,2017-09-26,46.320000,46.500000,False,45.460000,45.850000,reg,3776085
HES,2017-09-27,46.940000,47.060000,False,45.800000,46.290000,reg,4838425
HES,2017-09-28,46.540000,47.680000,False,46.120000,47.140000,reg,6830822
HES,2017-09-29,46.890000,47.190000,False,46.080000,46.360000,reg,3491962
HES,2017-10-02,46.290000,46.400000,False,45.570000,46.070000,reg,3887974
HES,2017-10-03,45.690000,46.240000,False,45.310000,46.240000,reg,3376374
HES,2017-10-04,45.260000,46.120000,False,45.100000,46.000000,reg,2294903
HES,2017-10-05,45.510000,46.020000,False,45.320000,45.570000,reg,3511347
HES,2017-10-06,44.590000,45.030000,False,44.200000,44.820000,reg,4688950
HES,2017-10-09,44.330000,44.810000,False,44.100000,44.650000,reg,2253366
HES,2017-10-10,44.310000,45.230000,False,44.190000,44.890000,reg,3185956
HES,2017-10-11,44.330000,44.590000,False,43.850000,44.225000,reg,3874573
HES,2017-10-12,44.200000,44.310000,False,43.360000,43.800000,reg,2760754
HES,2017-10-13,44.990000,45.400000,False,44.630000,44.740000,reg,2619759
HES,2017-10-16,46.040000,46.440000,False,45.340000,45.390000,reg,4422526
HES,2017-10-17,45.960000,46.190000,False,45.490000,46.060000,reg,2882234
HES,2017-10-18,45.870000,46.790000,False,45.800000,46.030000,reg,2153756
HES,2017-10-19,45.050000,45.885000,False,44.820000,45.330000,reg,2095953
HES,2017-10-20,45.030000,45.340000,False,44.690000,45.250000,reg,3025050
HES,2017-10-23,45.210000,45.730000,False,44.790000,45.290000,reg,5246943
HES,2017-10-24,44.060000,46.710000,False,43.730000,45.990000,reg,8314520
HES,2017-10-25,42.210000,43.340000,False,41.030000,43.070000,reg,12126401
HES,2017-10-26,41.280000,42.380000,False,40.260000,42.260000,reg,6729012
HES,2017-10-27,43.540000,43.770000,False,40.550000,40.790000,reg,6493759
HES,2017-10-30,43.660000,44.590000,False,43.440000,43.720000,reg,5291958
HES,2017-10-31,44.160000,44.440000,False,43.480000,43.560000,reg,4067941
HES,2017-11-01,44.300000,45.990000,False,43.750000,44.700000,reg,4653098
HES,2017-11-02,44.410000,44.840000,False,43.680000,44.130000,reg,3495587
HES,2017-11-03,45.460000,45.800000,False,44.180000,44.280000,reg,5035333
HES,2017-11-06,48.230000,48.290000,False,45.540000,45.690000,reg,6785791
